timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773919606,deployment-persistence-1,48.84%,182.6MiB / 1.946GiB,9.16%,657MB / 680MB,938MB / 14MB,143
1773919606,deployment-auth-1,16.53%,249.1MiB / 1.946GiB,12.50%,184MB / 65.2MB,875MB / 6.07MB,76
1773919606,deployment-webui-1,82.37%,630.9MiB / 1.946GiB,31.66%,14.4GB / 16.9GB,3.84GB / 140MB,254
1773919606,deployment-registry-1,0.38%,45.44MiB / 1.946GiB,2.28%,8.65MB / 5.69MB,666MB / 12.6MB,50
1773919606,deployment-image-1,33.53%,320MiB / 1.946GiB,16.06%,274MB / 13.5GB,1.15GB / 47.7MB,126
1773919606,deployment-recommender-1,5.57%,123MiB / 1.946GiB,6.17%,13.1MB / 8.71MB,1.6GB / 21.1MB,92
1773919606,deployment-db-1,0.41%,6.59MiB / 1.946GiB,0.33%,77.5MB / 349MB,154MB / 2.51MB,62
1773919620,deployment-persistence-1,19.28%,191.3MiB / 1.946GiB,9.60%,659MB / 682MB,953MB / 14.7MB,143
1773919620,deployment-auth-1,3.34%,251.3MiB / 1.946GiB,12.61%,184MB / 65.3MB,880MB / 6.17MB,76
1773919620,deployment-webui-1,24.54%,619MiB / 1.946GiB,31.06%,14.4GB / 16.9GB,3.89GB / 144MB,268
1773919620,deployment-registry-1,0.60%,45.25MiB / 1.946GiB,2.27%,8.68MB / 5.71MB,667MB / 12.6MB,50
1773919620,deployment-image-1,5.54%,342.7MiB / 1.946GiB,17.20%,275MB / 13.6GB,1.19GB / 48.8MB,130
1773919620,deployment-recommender-1,2.11%,122.4MiB / 1.946GiB,6.14%,13.2MB / 8.78MB,1.61GB / 22.1MB,92
1773919620,deployment-db-1,0.24%,6.039MiB / 1.946GiB,0.30%,77.7MB / 350MB,155MB / 2.51MB,62
1773919637,deployment-persistence-1,16.17%,205.2MiB / 1.946GiB,10.30%,660MB / 683MB,975MB / 17.7MB,143
1773919637,deployment-auth-1,23.06%,250.1MiB / 1.946GiB,12.55%,184MB / 65.5MB,891MB / 7.42MB,76
1773919637,deployment-webui-1,4.10%,590.4MiB / 1.946GiB,29.63%,14.4GB / 16.9GB,4GB / 151MB,284
1773919637,deployment-registry-1,0.81%,42.34MiB / 1.946GiB,2.12%,8.73MB / 5.75MB,668MB / 13.1MB,50
1773919637,deployment-image-1,3.89%,369.6MiB / 1.946GiB,18.55%,275MB / 13.6GB,1.2GB / 56.9MB,132
1773919637,deployment-recommender-1,4.94%,125.8MiB / 1.946GiB,6.31%,13.3MB / 8.85MB,1.64GB / 23.8MB,92
1773919637,deployment-db-1,0.37%,5.98MiB / 1.946GiB,0.30%,77.8MB / 351MB,155MB / 2.51MB,62
1773919663,deployment-persistence-1,20.57%,215.5MiB / 1.946GiB,10.82%,662MB / 685MB,993MB / 19.4MB,143
1773919663,deployment-auth-1,4.06%,247.6MiB / 1.946GiB,12.42%,185MB / 65.6MB,896MB / 7.68MB,76
1773919663,deployment-webui-1,67.84%,571.7MiB / 1.946GiB,28.69%,14.5GB / 17GB,4.12GB / 160MB,298
1773919663,deployment-registry-1,0.32%,31.55MiB / 1.946GiB,1.58%,8.76MB / 5.77MB,670MB / 13.1MB,50
1773919663,deployment-image-1,14.79%,370.4MiB / 1.946GiB,18.59%,276MB / 13.6GB,1.21GB / 64.1MB,132
1773919663,deployment-recommender-1,4.23%,123.1MiB / 1.946GiB,6.18%,13.4MB / 8.91MB,1.65GB / 25MB,92
1773919663,deployment-db-1,1.42%,6.074MiB / 1.946GiB,0.30%,77.9MB / 351MB,155MB / 2.51MB,62
1773919685,deployment-persistence-1,4.41%,215.2MiB / 1.946GiB,10.80%,664MB / 687MB,998MB / 19.4MB,143
1773919685,deployment-auth-1,1.56%,245.4MiB / 1.946GiB,12.31%,185MB / 65.8MB,898MB / 7.86MB,76
1773919685,deployment-webui-1,18.92%,377.8MiB / 1.946GiB,18.96%,14.5GB / 17GB,4.24GB / 167MB,297
1773919685,deployment-registry-1,0.63%,27.04MiB / 1.946GiB,1.36%,8.79MB / 5.78MB,671MB / 13.6MB,50
1773919685,deployment-image-1,1.96%,369.5MiB / 1.946GiB,18.54%,277MB / 13.7GB,1.21GB / 64.7MB,132
1773919685,deployment-recommender-1,2.03%,123.9MiB / 1.946GiB,6.22%,13.5MB / 8.98MB,1.67GB / 26.5MB,92
1773919685,deployment-db-1,0.06%,5.922MiB / 1.946GiB,0.30%,78.1MB / 352MB,155MB / 2.51MB,62
1773919706,deployment-persistence-1,17.05%,215.2MiB / 1.946GiB,10.80%,665MB / 688MB,1e+03MB / 19.4MB,143
1773919706,deployment-auth-1,6.24%,246.6MiB / 1.946GiB,12.38%,185MB / 65.9MB,908MB / 7.86MB,76
1773919706,deployment-webui-1,51.08%,531.5MiB / 1.946GiB,26.67%,14.5GB / 17.1GB,4.32GB / 167MB,286
1773919706,deployment-registry-1,0.70%,27.22MiB / 1.946GiB,1.37%,8.8MB / 5.79MB,673MB / 13.6MB,50
1773919706,deployment-image-1,9.55%,371.9MiB / 1.946GiB,18.66%,277MB / 13.7GB,1.22GB / 64.7MB,132
1773919706,deployment-recommender-1,1.61%,125.9MiB / 1.946GiB,6.32%,13.6MB / 9.03MB,1.68GB / 26.5MB,92
1773919706,deployment-db-1,0.65%,5.949MiB / 1.946GiB,0.30%,78.2MB / 352MB,155MB / 2.51MB,62
1773919716,deployment-persistence-1,29.03%,205.8MiB / 1.946GiB,10.33%,667MB / 690MB,1GB / 19.6MB,143
1773919716,deployment-auth-1,20.98%,249.7MiB / 1.946GiB,12.53%,186MB / 66.1MB,936MB / 8.37MB,79
1773919716,deployment-webui-1,90.54%,619.2MiB / 1.946GiB,31.07%,14.6GB / 17.1GB,4.4GB / 174MB,290
1773919716,deployment-registry-1,0.57%,29.93MiB / 1.946GiB,1.50%,8.84MB / 5.82MB,680MB / 14.2MB,50
1773919716,deployment-image-1,25.78%,364.3MiB / 1.946GiB,18.28%,278MB / 13.7GB,1.23GB / 65.4MB,132
1773919716,deployment-recommender-1,7.07%,117.2MiB / 1.946GiB,5.88%,13.7MB / 9.11MB,1.69GB / 26.6MB,92
1773919716,deployment-db-1,2.58%,5.977MiB / 1.946GiB,0.30%,78.4MB / 353MB,155MB / 2.51MB,62
1773919735,deployment-persistence-1,1.20%,194.6MiB / 1.946GiB,9.77%,670MB / 692MB,1.01GB / 19.7MB,143
1773919735,deployment-auth-1,3.43%,249.9MiB / 1.946GiB,12.54%,186MB / 66.3MB,945MB / 8.37MB,80
1773919735,deployment-webui-1,33.91%,604MiB / 1.946GiB,30.31%,14.6GB / 17.2GB,4.44GB / 186MB,277
1773919735,deployment-registry-1,0.55%,27.29MiB / 1.946GiB,1.37%,8.87MB / 5.84MB,684MB / 14.2MB,50
1773919735,deployment-image-1,2.94%,359.9MiB / 1.946GiB,18.06%,279MB / 13.8GB,1.24GB / 67.2MB,132
1773919735,deployment-recommender-1,2.07%,110.9MiB / 1.946GiB,5.56%,13.9MB / 9.21MB,1.7GB / 26.6MB,92
1773919735,deployment-db-1,0.67%,8.375MiB / 1.946GiB,0.42%,78.6MB / 354MB,165MB / 2.51MB,61
1773919755,deployment-persistence-1,47.08%,198.1MiB / 1.946GiB,9.94%,674MB / 696MB,1.03GB / 19.7MB,143
1773919755,deployment-auth-1,15.60%,253.1MiB / 1.946GiB,12.70%,187MB / 66.6MB,952MB / 8.37MB,80
1773919755,deployment-webui-1,113.02%,590.8MiB / 1.946GiB,29.64%,14.7GB / 17.3GB,4.47GB / 186MB,289
1773919755,deployment-registry-1,0.72%,29.28MiB / 1.946GiB,1.47%,8.9MB / 5.86MB,688MB / 14.2MB,50
1773919755,deployment-image-1,27.36%,363.3MiB / 1.946GiB,18.23%,281MB / 13.9GB,1.25GB / 67.2MB,132
1773919755,deployment-recommender-1,30.45%,125.3MiB / 1.946GiB,6.29%,14.1MB / 9.35MB,1.73GB / 26.6MB,92
1773919755,deployment-db-1,1.81%,7.027MiB / 1.946GiB,0.35%,78.9MB / 355MB,165MB / 2.51MB,61
1773919768,deployment-persistence-1,18.08%,188.6MiB / 1.946GiB,9.46%,675MB / 698MB,1.03GB / 20MB,143
1773919768,deployment-auth-1,4.52%,246.4MiB / 1.946GiB,12.37%,188MB / 66.7MB,960MB / 8.97MB,80
1773919768,deployment-webui-1,65.29%,615.6MiB / 1.946GiB,30.89%,14.8GB / 17.3GB,4.6GB / 206MB,292
1773919768,deployment-registry-1,1.13%,30.32MiB / 1.946GiB,1.52%,8.94MB / 5.88MB,695MB / 14.7MB,50
1773919768,deployment-image-1,8.60%,359.9MiB / 1.946GiB,18.06%,282MB / 13.9GB,1.26GB / 67.9MB,132
1773919768,deployment-recommender-1,2.64%,128.5MiB / 1.946GiB,6.45%,14.2MB / 9.41MB,1.76GB / 27.5MB,92
1773919768,deployment-db-1,0.87%,6.484MiB / 1.946GiB,0.33%,79MB / 356MB,166MB / 2.51MB,61
