timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773948339,deployment-auth-1,2.46%,219.6MiB / 1.946GiB,11.02%,95.6MB / 64.2MB,545MB / 786kB,69
1773948339,deployment-webui-1,3.31%,434.9MiB / 1.946GiB,21.82%,2.14GB / 2.58GB,809MB / 1.03MB,110
1773948339,deployment-registry-1,0.78%,90.44MiB / 1.946GiB,4.54%,4.73MB / 3.11MB,347MB / 524kB,50
1773948339,deployment-recommender-1,2.07%,231.8MiB / 1.946GiB,11.63%,10MB / 6.21MB,433MB / 115kB,74
1773948339,deployment-persistence-1,0.24%,316.2MiB / 1.946GiB,15.87%,175MB / 158MB,506MB / 1.34MB,56
1773948339,deployment-db-1,0.07%,13.48MiB / 1.946GiB,0.68%,17.3MB / 64.9MB,142MB / 133MB,35
1773948347,deployment-image-1,0.27%,204.6MiB / 1.946GiB,10.27%,59.5MB / 1.86GB,377MB / 397kB,78
1773948347,deployment-auth-1,1.90%,219.7MiB / 1.946GiB,11.02%,95.6MB / 64.2MB,545MB / 786kB,69
1773948347,deployment-webui-1,1.41%,435.3MiB / 1.946GiB,21.84%,2.14GB / 2.58GB,810MB / 1.03MB,110
1773948347,deployment-registry-1,0.56%,91.3MiB / 1.946GiB,4.58%,4.75MB / 3.11MB,348MB / 524kB,50
1773948347,deployment-recommender-1,5.41%,232.1MiB / 1.946GiB,11.64%,10MB / 6.21MB,433MB / 115kB,74
1773948347,deployment-persistence-1,0.20%,316.3MiB / 1.946GiB,15.87%,175MB / 158MB,506MB / 1.34MB,56
1773948347,deployment-db-1,0.07%,13.48MiB / 1.946GiB,0.68%,17.3MB / 64.9MB,142MB / 133MB,35
1773948355,deployment-image-1,1.85%,204.2MiB / 1.946GiB,10.25%,59.5MB / 1.86GB,377MB / 397kB,78
1773948355,deployment-auth-1,1.24%,219.9MiB / 1.946GiB,11.03%,95.7MB / 64.3MB,547MB / 786kB,69
1773948355,deployment-webui-1,1.87%,434.8MiB / 1.946GiB,21.82%,2.14GB / 2.58GB,812MB / 1.03MB,110
1773948355,deployment-registry-1,0.45%,91.18MiB / 1.946GiB,4.58%,4.76MB / 3.13MB,348MB / 524kB,50
1773948355,deployment-recommender-1,1.94%,231.7MiB / 1.946GiB,11.63%,10MB / 6.21MB,433MB / 115kB,74
1773948355,deployment-persistence-1,0.31%,314.2MiB / 1.946GiB,15.76%,175MB / 158MB,506MB / 1.34MB,56
1773948355,deployment-db-1,0.11%,13.84MiB / 1.946GiB,0.69%,17.3MB / 64.9MB,142MB / 133MB,35
1773948364,deployment-image-1,1.31%,204.2MiB / 1.946GiB,10.25%,59.5MB / 1.86GB,377MB / 397kB,78
1773948364,deployment-auth-1,0.99%,219.9MiB / 1.946GiB,11.04%,95.7MB / 64.3MB,547MB / 786kB,69
1773948364,deployment-webui-1,3.35%,434.9MiB / 1.946GiB,21.82%,2.14GB / 2.58GB,812MB / 1.03MB,110
1773948364,deployment-registry-1,0.54%,91.22MiB / 1.946GiB,4.58%,4.78MB / 3.14MB,348MB / 524kB,50
1773948364,deployment-recommender-1,1.15%,231.9MiB / 1.946GiB,11.63%,10.1MB / 6.22MB,433MB / 115kB,74
1773948364,deployment-persistence-1,0.58%,314.2MiB / 1.946GiB,15.76%,175MB / 158MB,506MB / 1.34MB,56
1773948364,deployment-db-1,0.07%,13.84MiB / 1.946GiB,0.69%,17.3MB / 64.9MB,142MB / 133MB,35
1773948372,deployment-image-1,1.74%,203.5MiB / 1.946GiB,10.21%,59.5MB / 1.86GB,377MB / 397kB,78
1773948372,deployment-auth-1,1.34%,219.4MiB / 1.946GiB,11.01%,95.7MB / 64.3MB,547MB / 786kB,69
1773948372,deployment-webui-1,1.42%,434.3MiB / 1.946GiB,21.79%,2.14GB / 2.58GB,813MB / 1.03MB,110
1773948372,deployment-registry-1,0.54%,99.55MiB / 1.946GiB,5.00%,4.8MB / 3.15MB,360MB / 524kB,50
1773948372,deployment-recommender-1,1.32%,231.1MiB / 1.946GiB,11.60%,10.1MB / 6.22MB,433MB / 115kB,74
1773948372,deployment-persistence-1,2.45%,313.4MiB / 1.946GiB,15.73%,175MB / 158MB,506MB / 1.34MB,56
1773948372,deployment-db-1,0.08%,13.79MiB / 1.946GiB,0.69%,17.4MB / 64.9MB,142MB / 133MB,35
1773948382,deployment-image-1,4.18%,203.7MiB / 1.946GiB,10.22%,59.6MB / 1.86GB,378MB / 397kB,78
1773948382,deployment-auth-1,15.71%,219.1MiB / 1.946GiB,10.99%,95.9MB / 64.4MB,548MB / 786kB,69
1773948382,deployment-webui-1,13.38%,434.8MiB / 1.946GiB,21.82%,2.14GB / 2.58GB,814MB / 1.03MB,110
1773948382,deployment-registry-1,0.62%,99.43MiB / 1.946GiB,4.99%,4.82MB / 3.16MB,360MB / 524kB,50
1773948382,deployment-recommender-1,1.84%,231MiB / 1.946GiB,11.59%,10.1MB / 6.23MB,433MB / 115kB,74
1773948382,deployment-persistence-1,8.06%,311.2MiB / 1.946GiB,15.62%,175MB / 159MB,507MB / 1.34MB,56
1773948382,deployment-db-1,0.67%,13.52MiB / 1.946GiB,0.68%,17.4MB / 65MB,142MB / 133MB,35
1773948391,deployment-image-1,0.30%,204.5MiB / 1.946GiB,10.26%,59.6MB / 1.86GB,378MB / 397kB,78
1773948391,deployment-auth-1,1.55%,219.8MiB / 1.946GiB,11.03%,95.9MB / 64.4MB,548MB / 786kB,69
1773948391,deployment-webui-1,2.85%,435.7MiB / 1.946GiB,21.86%,2.14GB / 2.58GB,814MB / 1.03MB,110
