timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773916402,deployment-image-1,6.29%,225.5MiB / 1.946GiB,11.32%,27.7MB / 1.11GB,597MB / 4.2MB,136
1773916402,deployment-registry-1,0.67%,39.36MiB / 1.946GiB,1.97%,47.7MB / 31.4MB,500MB / 741kB,50
1773916402,deployment-webui-1,19.49%,429.5MiB / 1.946GiB,21.55%,1.19GB / 1.42GB,748MB / 2.31MB,176
1773916402,deployment-db-1,0.80%,5.863MiB / 1.946GiB,0.29%,7.51MB / 33.6MB,91.1MB / 2.17MB,62
1773916402,deployment-auth-1,3.80%,242.3MiB / 1.946GiB,12.16%,21.1MB / 13.3MB,683MB / 328kB,65
1773916402,deployment-recommender-1,1.09%,255.5MiB / 1.946GiB,12.82%,7.48MB / 11.3MB,537MB / 1.29MB,74
1773916402,deployment-persistence-1,1.42%,290.7MiB / 1.946GiB,14.59%,56.7MB / 61.3MB,789MB / 3.45MB,117
1773916410,deployment-image-1,1.34%,225.5MiB / 1.946GiB,11.32%,27.9MB / 1.12GB,597MB / 4.2MB,136
1773916410,deployment-registry-1,0.78%,40.61MiB / 1.946GiB,2.04%,47.7MB / 31.4MB,502MB / 741kB,50
1773916410,deployment-webui-1,2.98%,430.3MiB / 1.946GiB,21.59%,1.2GB / 1.43GB,749MB / 2.31MB,176
1773916410,deployment-db-1,0.09%,5.863MiB / 1.946GiB,0.29%,7.57MB / 33.9MB,91.1MB / 2.17MB,62
1773916410,deployment-auth-1,1.27%,243.6MiB / 1.946GiB,12.22%,21.2MB / 13.3MB,685MB / 328kB,65
1773916410,deployment-recommender-1,1.30%,255.5MiB / 1.946GiB,12.82%,7.48MB / 11.3MB,537MB / 1.29MB,74
1773916410,deployment-persistence-1,1.26%,290.8MiB / 1.946GiB,14.59%,57.3MB / 61.8MB,790MB / 3.45MB,117
1773916418,deployment-image-1,1.47%,225.2MiB / 1.946GiB,11.30%,27.9MB / 1.12GB,597MB / 4.2MB,136
1773916418,deployment-registry-1,0.57%,41.82MiB / 1.946GiB,2.10%,47.7MB / 31.4MB,504MB / 741kB,50
1773916418,deployment-webui-1,3.26%,427.6MiB / 1.946GiB,21.46%,1.2GB / 1.43GB,749MB / 2.31MB,172
1773916418,deployment-db-1,0.07%,5.84MiB / 1.946GiB,0.29%,7.59MB / 34MB,91.1MB / 2.17MB,62
1773916418,deployment-auth-1,0.19%,243.2MiB / 1.946GiB,12.20%,21.3MB / 13.4MB,685MB / 328kB,65
1773916418,deployment-recommender-1,2.28%,255.4MiB / 1.946GiB,12.82%,7.48MB / 11.3MB,537MB / 1.29MB,74
1773916418,deployment-persistence-1,0.36%,288.4MiB / 1.946GiB,14.47%,57.4MB / 62MB,790MB / 3.45MB,117
1773916427,deployment-image-1,1.77%,224.5MiB / 1.946GiB,11.27%,27.9MB / 1.12GB,597MB / 4.2MB,136
1773916427,deployment-registry-1,0.73%,42.49MiB / 1.946GiB,2.13%,47.7MB / 31.4MB,506MB / 741kB,50
1773916427,deployment-webui-1,9.39%,430.7MiB / 1.946GiB,21.61%,1.2GB / 1.43GB,761MB / 2.31MB,168
1773916427,deployment-db-1,0.08%,5.809MiB / 1.946GiB,0.29%,7.59MB / 34MB,91.1MB / 2.17MB,62
1773916427,deployment-auth-1,2.39%,242.7MiB / 1.946GiB,12.18%,21.3MB / 13.4MB,685MB / 328kB,65
1773916427,deployment-recommender-1,2.01%,255MiB / 1.946GiB,12.80%,7.48MB / 11.3MB,537MB / 1.29MB,74
1773916427,deployment-persistence-1,1.72%,285.4MiB / 1.946GiB,14.32%,57.4MB / 62MB,790MB / 3.45MB,117
1773916436,deployment-image-1,2.79%,224.3MiB / 1.946GiB,11.26%,27.9MB / 1.12GB,597MB / 4.2MB,136
1773916436,deployment-registry-1,0.51%,43.84MiB / 1.946GiB,2.20%,47.7MB / 31.4MB,508MB / 741kB,50
1773916436,deployment-webui-1,0.37%,427.2MiB / 1.946GiB,21.44%,1.2GB / 1.43GB,761MB / 2.31MB,168
1773916436,deployment-db-1,0.10%,5.766MiB / 1.946GiB,0.29%,7.59MB / 34MB,91.1MB / 2.17MB,62
1773916436,deployment-auth-1,34.61%,243.3MiB / 1.946GiB,12.21%,21.3MB / 13.4MB,686MB / 328kB,65
1773916436,deployment-recommender-1,4.71%,264.4MiB / 1.946GiB,13.27%,7.49MB / 11.3MB,551MB / 1.29MB,74
1773916436,deployment-persistence-1,0.22%,284MiB / 1.946GiB,14.25%,57.4MB / 62MB,790MB / 3.45MB,117
1773916445,deployment-image-1,1.88%,224.1MiB / 1.946GiB,11.25%,27.9MB / 1.12GB,597MB / 4.2MB,136
