timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773916794,deployment-image-1,1.28%,414.5MiB / 1.946GiB,20.80%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916794,deployment-registry-1,0.44%,50.11MiB / 1.946GiB,2.51%,48.1MB / 31.7MB,2.11GB / 114MB,53
1773916794,deployment-db-1,0.08%,8.426MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916794,deployment-persistence-1,1.15%,265MiB / 1.946GiB,13.30%,159MB / 168MB,4.05GB / 115MB,55
1773916794,deployment-auth-1,1.06%,304.6MiB / 1.946GiB,15.28%,51.7MB / 24.2MB,3.67GB / 93.9MB,54
1773916802,deployment-recommender-1,2.81%,364.2MiB / 1.946GiB,18.27%,8MB / 11.7MB,4.15GB / 198MB,68
1773916802,deployment-image-1,2.69%,407.3MiB / 1.946GiB,20.44%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916802,deployment-registry-1,0.53%,50.52MiB / 1.946GiB,2.53%,48.1MB / 31.7MB,2.11GB / 114MB,53
1773916802,deployment-db-1,0.07%,8.359MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916802,deployment-persistence-1,1.08%,260.1MiB / 1.946GiB,13.05%,159MB / 168MB,4.05GB / 115MB,55
1773916802,deployment-auth-1,0.16%,306.3MiB / 1.946GiB,15.37%,51.7MB / 24.2MB,3.67GB / 93.9MB,54
1773916811,deployment-recommender-1,1.96%,367.3MiB / 1.946GiB,18.43%,8.01MB / 11.7MB,4.15GB / 198MB,68
1773916811,deployment-image-1,1.59%,407.6MiB / 1.946GiB,20.45%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916811,deployment-registry-1,0.36%,50.52MiB / 1.946GiB,2.53%,48.1MB / 31.8MB,2.11GB / 114MB,53
1773916811,deployment-db-1,0.06%,8.359MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916811,deployment-persistence-1,0.96%,261.8MiB / 1.946GiB,13.14%,159MB / 168MB,4.05GB / 115MB,55
1773916811,deployment-auth-1,7.63%,308.8MiB / 1.946GiB,15.50%,51.8MB / 24.2MB,3.68GB / 93.9MB,54
1773916819,deployment-recommender-1,0.94%,368.4MiB / 1.946GiB,18.49%,8.01MB / 11.7MB,4.15GB / 198MB,68
1773916819,deployment-image-1,1.95%,407.7MiB / 1.946GiB,20.46%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916819,deployment-registry-1,0.48%,50.8MiB / 1.946GiB,2.55%,48.1MB / 31.8MB,2.11GB / 114MB,53
1773916819,deployment-db-1,0.08%,8.359MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916819,deployment-persistence-1,0.18%,261.8MiB / 1.946GiB,13.14%,159MB / 168MB,4.05GB / 115MB,55
1773916819,deployment-auth-1,1.18%,308.8MiB / 1.946GiB,15.50%,51.8MB / 24.3MB,3.68GB / 93.9MB,54
1773916827,deployment-recommender-1,2.37%,368.9MiB / 1.946GiB,18.51%,8.01MB / 11.7MB,4.15GB / 198MB,68
1773916827,deployment-image-1,7.53%,411MiB / 1.946GiB,20.62%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916827,deployment-registry-1,0.41%,50.97MiB / 1.946GiB,2.56%,48.1MB / 31.8MB,2.11GB / 114MB,53
1773916827,deployment-db-1,0.08%,8.359MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916827,deployment-persistence-1,0.20%,264.5MiB / 1.946GiB,13.27%,159MB / 168MB,4.06GB / 115MB,55
1773916827,deployment-auth-1,2.61%,311.5MiB / 1.946GiB,15.63%,51.8MB / 24.3MB,3.68GB / 93.9MB,54
1773916835,deployment-recommender-1,1.16%,367.3MiB / 1.946GiB,18.43%,8.01MB / 11.7MB,4.15GB / 198MB,68
1773916835,deployment-image-1,2.46%,413MiB / 1.946GiB,20.72%,72.4MB / 3.15GB,3.91GB / 165MB,60
1773916835,deployment-registry-1,0.49%,51.02MiB / 1.946GiB,2.56%,48.1MB / 31.8MB,2.11GB / 114MB,53
1773916835,deployment-db-1,0.07%,8.305MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916835,deployment-persistence-1,1.48%,258.4MiB / 1.946GiB,12.96%,159MB / 168MB,4.06GB / 115MB,55
1773916835,deployment-auth-1,2.39%,314.7MiB / 1.946GiB,15.79%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916844,deployment-recommender-1,5.74%,367MiB / 1.946GiB,18.42%,8.02MB / 11.7MB,4.15GB / 198MB,68
1773916844,deployment-image-1,4.67%,425.4MiB / 1.946GiB,21.35%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916844,deployment-registry-1,0.49%,51.01MiB / 1.946GiB,2.56%,48.1MB / 31.8MB,2.11GB / 114MB,53
1773916844,deployment-db-1,0.07%,8.238MiB / 1.946GiB,0.41%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916844,deployment-persistence-1,0.16%,258.1MiB / 1.946GiB,12.95%,159MB / 168MB,4.06GB / 115MB,55
1773916844,deployment-auth-1,1.17%,314.8MiB / 1.946GiB,15.80%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916852,deployment-recommender-1,1.28%,365.2MiB / 1.946GiB,18.32%,8.02MB / 11.7MB,4.15GB / 198MB,68
1773916852,deployment-image-1,1.53%,425.4MiB / 1.946GiB,21.35%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916852,deployment-registry-1,0.49%,51MiB / 1.946GiB,2.56%,48.2MB / 31.8MB,2.11GB / 114MB,53
1773916852,deployment-db-1,0.08%,8.156MiB / 1.946GiB,0.41%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916852,deployment-persistence-1,0.14%,252.9MiB / 1.946GiB,12.69%,159MB / 168MB,4.06GB / 115MB,55
1773916852,deployment-auth-1,1.28%,315.4MiB / 1.946GiB,15.82%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916860,deployment-recommender-1,1.49%,365.2MiB / 1.946GiB,18.32%,8.02MB / 11.7MB,4.15GB / 198MB,68
1773916860,deployment-image-1,0.18%,425.4MiB / 1.946GiB,21.35%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916860,deployment-registry-1,0.35%,51.03MiB / 1.946GiB,2.56%,48.2MB / 31.8MB,2.11GB / 114MB,53
1773916860,deployment-db-1,0.08%,8.156MiB / 1.946GiB,0.41%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916860,deployment-persistence-1,0.15%,253MiB / 1.946GiB,12.69%,159MB / 168MB,4.06GB / 115MB,55
1773916860,deployment-auth-1,1.12%,317.4MiB / 1.946GiB,15.93%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916868,deployment-recommender-1,1.51%,365.2MiB / 1.946GiB,18.32%,8.02MB / 11.7MB,4.15GB / 198MB,68
1773916868,deployment-image-1,0.21%,425.4MiB / 1.946GiB,21.35%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916868,deployment-registry-1,0.52%,51.04MiB / 1.946GiB,2.56%,48.2MB / 31.8MB,2.11GB / 114MB,53
1773916868,deployment-db-1,0.08%,8.156MiB / 1.946GiB,0.41%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916868,deployment-persistence-1,0.18%,255.9MiB / 1.946GiB,12.84%,159MB / 168MB,4.06GB / 115MB,55
1773916868,deployment-auth-1,2.07%,317.4MiB / 1.946GiB,15.93%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916876,deployment-recommender-1,1.77%,366.2MiB / 1.946GiB,18.37%,8.03MB / 11.7MB,4.16GB / 198MB,68
1773916876,deployment-image-1,2.91%,425.4MiB / 1.946GiB,21.35%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916876,deployment-registry-1,0.90%,51.29MiB / 1.946GiB,2.57%,48.2MB / 31.8MB,2.11GB / 114MB,53
1773916876,deployment-db-1,0.07%,8.156MiB / 1.946GiB,0.41%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916876,deployment-persistence-1,1.63%,255.9MiB / 1.946GiB,12.84%,159MB / 168MB,4.06GB / 115MB,55
1773916876,deployment-auth-1,1.41%,319.8MiB / 1.946GiB,16.05%,51.8MB / 24.3MB,3.69GB / 93.9MB,54
1773916883,deployment-recommender-1,1.28%,362.5MiB / 1.946GiB,18.19%,8.03MB / 11.7MB,4.16GB / 198MB,68
1773916883,deployment-image-1,1.51%,421MiB / 1.946GiB,21.13%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916883,deployment-registry-1,0.91%,52.06MiB / 1.946GiB,2.61%,48.2MB / 31.8MB,2.12GB / 114MB,53
1773916883,deployment-db-1,0.07%,8.062MiB / 1.946GiB,0.40%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916883,deployment-persistence-1,0.20%,252.8MiB / 1.946GiB,12.69%,159MB / 168MB,4.07GB / 115MB,55
1773916883,deployment-auth-1,1.08%,321.6MiB / 1.946GiB,16.14%,51.8MB / 24.3MB,3.7GB / 93.9MB,54
1773916893,deployment-recommender-1,1.59%,362.5MiB / 1.946GiB,18.19%,8.03MB / 11.7MB,4.16GB / 198MB,68
1773916893,deployment-image-1,0.19%,421MiB / 1.946GiB,21.13%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916893,deployment-registry-1,0.48%,53.59MiB / 1.946GiB,2.69%,48.2MB / 31.8MB,2.12GB / 114MB,53
1773916893,deployment-db-1,0.08%,8.062MiB / 1.946GiB,0.40%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916893,deployment-persistence-1,0.24%,253.1MiB / 1.946GiB,12.70%,159MB / 168MB,4.07GB / 115MB,55
1773916893,deployment-auth-1,6.63%,324MiB / 1.946GiB,16.26%,51.8MB / 24.3MB,3.7GB / 93.9MB,54
1773916901,deployment-recommender-1,2.80%,366.9MiB / 1.946GiB,18.41%,8.03MB / 11.7MB,4.16GB / 198MB,68
1773916901,deployment-image-1,1.56%,421MiB / 1.946GiB,21.13%,72.4MB / 3.15GB,3.93GB / 165MB,60
1773916901,deployment-registry-1,0.44%,53.85MiB / 1.946GiB,2.70%,48.2MB / 31.8MB,2.12GB / 114MB,53
1773916901,deployment-db-1,0.08%,8.062MiB / 1.946GiB,0.40%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916901,deployment-persistence-1,1.33%,254.5MiB / 1.946GiB,12.77%,159MB / 168MB,4.07GB / 115MB,55
1773916901,deployment-auth-1,1.30%,323.9MiB / 1.946GiB,16.26%,51.8MB / 24.3MB,3.7GB / 93.9MB,54
