timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773918969,deployment-recommender-1,1.90%,332.6MiB / 1.946GiB,16.69%,8.65MB / 12.7MB,5.2GB / 204MB,68
1773919048,deployment-auth-1,1.09%,305.6MiB / 1.946GiB,15.34%,52.2MB / 24.9MB,4.51GB / 101MB,54
1773919056,deployment-recommender-1,8.29%,338.1MiB / 1.946GiB,16.97%,8.68MB / 12.7MB,5.24GB / 204MB,68
1773919056,deployment-image-1,1.41%,513.4MiB / 1.946GiB,25.76%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919056,deployment-registry-1,0.55%,76.06MiB / 1.946GiB,3.82%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919056,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919056,deployment-persistence-1,1.28%,264.1MiB / 1.946GiB,13.25%,159MB / 169MB,4.73GB / 124MB,55
1773919056,deployment-auth-1,1.02%,307.1MiB / 1.946GiB,15.41%,52.2MB / 24.9MB,4.51GB / 101MB,54
1773919064,deployment-recommender-1,1.54%,335.5MiB / 1.946GiB,16.83%,8.68MB / 12.7MB,5.24GB / 204MB,68
1773919064,deployment-image-1,2.85%,511.9MiB / 1.946GiB,25.68%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919064,deployment-registry-1,0.59%,76.35MiB / 1.946GiB,3.83%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919064,deployment-db-1,0.07%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919064,deployment-persistence-1,0.18%,263MiB / 1.946GiB,13.20%,159MB / 169MB,4.73GB / 124MB,55
1773919064,deployment-auth-1,1.12%,306.9MiB / 1.946GiB,15.40%,52.2MB / 24.9MB,4.51GB / 101MB,54
1773919071,deployment-recommender-1,2.33%,338.8MiB / 1.946GiB,17.00%,8.68MB / 12.7MB,5.24GB / 204MB,68
1773919071,deployment-image-1,3.06%,511.9MiB / 1.946GiB,25.69%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919071,deployment-registry-1,0.63%,76.82MiB / 1.946GiB,3.85%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919071,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919071,deployment-persistence-1,0.23%,263MiB / 1.946GiB,13.20%,159MB / 169MB,4.73GB / 124MB,55
1773919071,deployment-auth-1,1.05%,306.9MiB / 1.946GiB,15.40%,52.2MB / 24.9MB,4.51GB / 101MB,54
1773919079,deployment-recommender-1,5.45%,339.7MiB / 1.946GiB,17.05%,8.69MB / 12.7MB,5.25GB / 204MB,68
1773919079,deployment-image-1,1.95%,509.8MiB / 1.946GiB,25.58%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919079,deployment-registry-1,0.51%,76.93MiB / 1.946GiB,3.86%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919079,deployment-db-1,0.07%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919079,deployment-persistence-1,2.06%,262.9MiB / 1.946GiB,13.19%,159MB / 169MB,4.73GB / 124MB,55
1773919079,deployment-auth-1,1.16%,306.5MiB / 1.946GiB,15.38%,52.2MB / 24.9MB,4.51GB / 101MB,54
1773919089,deployment-recommender-1,8.08%,339.4MiB / 1.946GiB,17.03%,8.69MB / 12.7MB,5.25GB / 204MB,68
1773919089,deployment-image-1,1.63%,510.1MiB / 1.946GiB,25.60%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919089,deployment-registry-1,0.58%,77.14MiB / 1.946GiB,3.87%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919089,deployment-db-1,0.08%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919089,deployment-persistence-1,2.81%,263.8MiB / 1.946GiB,13.24%,159MB / 169MB,4.73GB / 124MB,55
1773919089,deployment-auth-1,1.49%,305.9MiB / 1.946GiB,15.35%,52.2MB / 25MB,4.52GB / 101MB,54
1773919097,deployment-recommender-1,2.06%,337.4MiB / 1.946GiB,16.93%,8.69MB / 12.7MB,5.26GB / 204MB,68
1773919097,deployment-image-1,1.21%,522.4MiB / 1.946GiB,26.21%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919097,deployment-registry-1,0.54%,76.98MiB / 1.946GiB,3.86%,51MB / 33.5MB,2.27GB / 117MB,53
1773919097,deployment-db-1,0.08%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919097,deployment-persistence-1,8.08%,270.3MiB / 1.946GiB,13.57%,159MB / 169MB,4.74GB / 124MB,55
1773919097,deployment-auth-1,2.66%,305.6MiB / 1.946GiB,15.33%,52.2MB / 25MB,4.52GB / 101MB,54
1773919106,deployment-recommender-1,7.70%,333.9MiB / 1.946GiB,16.75%,8.69MB / 12.7MB,5.26GB / 204MB,68
1773919106,deployment-image-1,1.34%,522.9MiB / 1.946GiB,26.24%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919106,deployment-registry-1,0.73%,77.09MiB / 1.946GiB,3.87%,51MB / 33.5MB,2.27GB / 117MB,53
1773919106,deployment-db-1,0.08%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919106,deployment-persistence-1,1.30%,269.7MiB / 1.946GiB,13.53%,159MB / 169MB,4.74GB / 124MB,55
1773919106,deployment-auth-1,1.60%,302.5MiB / 1.946GiB,15.18%,52.2MB / 25MB,4.52GB / 101MB,54
1773919114,deployment-recommender-1,3.23%,332.7MiB / 1.946GiB,16.70%,8.7MB / 12.7MB,5.26GB / 204MB,68
1773919114,deployment-image-1,1.37%,522.7MiB / 1.946GiB,26.23%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919114,deployment-registry-1,0.51%,77.35MiB / 1.946GiB,3.88%,51MB / 33.5MB,2.27GB / 117MB,53
1773919114,deployment-db-1,0.07%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919114,deployment-persistence-1,1.75%,269.3MiB / 1.946GiB,13.51%,159MB / 169MB,4.74GB / 124MB,55
1773919114,deployment-auth-1,1.11%,301.4MiB / 1.946GiB,15.13%,52.2MB / 25MB,4.52GB / 101MB,54
1773919124,deployment-recommender-1,2.09%,332.6MiB / 1.946GiB,16.69%,8.7MB / 12.7MB,5.26GB / 204MB,68
1773919124,deployment-image-1,2.81%,522.9MiB / 1.946GiB,26.24%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919124,deployment-registry-1,0.61%,77.71MiB / 1.946GiB,3.90%,51MB / 33.5MB,2.27GB / 117MB,53
1773919124,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919124,deployment-persistence-1,0.27%,269MiB / 1.946GiB,13.50%,159MB / 169MB,4.74GB / 124MB,55
1773919124,deployment-auth-1,1.41%,299.1MiB / 1.946GiB,15.01%,52.2MB / 25MB,4.52GB / 101MB,54
1773919132,deployment-recommender-1,0.20%,334.9MiB / 1.946GiB,16.80%,8.7MB / 12.7MB,5.27GB / 204MB,68
1773919132,deployment-image-1,1.50%,522.9MiB / 1.946GiB,26.24%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919132,deployment-registry-1,0.40%,77.88MiB / 1.946GiB,3.91%,51MB / 33.5MB,2.27GB / 117MB,53
1773919132,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919132,deployment-persistence-1,0.22%,269MiB / 1.946GiB,13.50%,159MB / 169MB,4.74GB / 124MB,55
1773919132,deployment-auth-1,0.18%,299.1MiB / 1.946GiB,15.01%,52.2MB / 25MB,4.52GB / 101MB,54
1773919140,deployment-recommender-1,0.18%,336.5MiB / 1.946GiB,16.88%,8.7MB / 12.7MB,5.27GB / 204MB,68
1773919140,deployment-image-1,2.34%,523MiB / 1.946GiB,26.24%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919140,deployment-registry-1,0.44%,78.12MiB / 1.946GiB,3.92%,51MB / 33.5MB,2.27GB / 117MB,53
1773919140,deployment-db-1,0.07%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919140,deployment-persistence-1,0.18%,269MiB / 1.946GiB,13.50%,159MB / 169MB,4.74GB / 124MB,55
1773919140,deployment-auth-1,0.38%,301.2MiB / 1.946GiB,15.11%,52.2MB / 25MB,4.53GB / 101MB,54
1773919147,deployment-recommender-1,6.45%,351MiB / 1.946GiB,17.61%,8.71MB / 12.7MB,5.29GB / 204MB,68
1773919147,deployment-image-1,1.88%,524.5MiB / 1.946GiB,26.32%,72.8MB / 3.15GB,4.24GB / 171MB,60
1773919147,deployment-registry-1,0.76%,78.21MiB / 1.946GiB,3.92%,51MB / 33.6MB,2.27GB / 117MB,53
1773919147,deployment-db-1,0.07%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919147,deployment-persistence-1,3.44%,267.2MiB / 1.946GiB,13.41%,159MB / 169MB,4.74GB / 124MB,55
1773919147,deployment-auth-1,1.15%,298.7MiB / 1.946GiB,14.99%,52.2MB / 25MB,4.53GB / 101MB,54
