timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773918969,deployment-recommender-1,1.90%,332.6MiB / 1.946GiB,16.69%,8.65MB / 12.7MB,5.2GB / 204MB,68
1773918969,deployment-image-1,1.31%,517.7MiB / 1.946GiB,25.98%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773918969,deployment-registry-1,0.78%,74.26MiB / 1.946GiB,3.73%,50.8MB / 33.4MB,2.26GB / 117MB,53
1773918969,deployment-db-1,0.07%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773918969,deployment-persistence-1,1.23%,263.4MiB / 1.946GiB,13.22%,159MB / 169MB,4.71GB / 124MB,55
1773918969,deployment-auth-1,0.15%,301.6MiB / 1.946GiB,15.13%,52.2MB / 24.9MB,4.49GB / 101MB,54
1773918979,deployment-recommender-1,0.77%,328.8MiB / 1.946GiB,16.50%,8.66MB / 12.7MB,5.21GB / 204MB,68
1773918979,deployment-image-1,1.30%,517.8MiB / 1.946GiB,25.98%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773918979,deployment-registry-1,0.43%,74.34MiB / 1.946GiB,3.73%,50.8MB / 33.4MB,2.27GB / 117MB,53
1773918979,deployment-db-1,0.35%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773918979,deployment-persistence-1,0.16%,260.4MiB / 1.946GiB,13.07%,159MB / 169MB,4.71GB / 124MB,55
1773918979,deployment-auth-1,1.54%,302.6MiB / 1.946GiB,15.18%,52.2MB / 24.9MB,4.49GB / 101MB,54
1773918987,deployment-recommender-1,2.89%,331.6MiB / 1.946GiB,16.64%,8.66MB / 12.7MB,5.21GB / 204MB,68
1773918987,deployment-image-1,1.25%,517.7MiB / 1.946GiB,25.98%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773918987,deployment-registry-1,0.51%,74.59MiB / 1.946GiB,3.74%,50.8MB / 33.4MB,2.27GB / 117MB,53
1773918987,deployment-db-1,0.07%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773918987,deployment-persistence-1,1.30%,260.4MiB / 1.946GiB,13.07%,159MB / 169MB,4.71GB / 124MB,55
1773918987,deployment-auth-1,1.21%,304.4MiB / 1.946GiB,15.28%,52.2MB / 24.9MB,4.49GB / 101MB,54
1773918996,deployment-recommender-1,1.39%,328.2MiB / 1.946GiB,16.47%,8.66MB / 12.7MB,5.21GB / 204MB,68
1773918996,deployment-image-1,0.24%,516.9MiB / 1.946GiB,25.94%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773918996,deployment-registry-1,0.45%,74.64MiB / 1.946GiB,3.75%,50.8MB / 33.4MB,2.27GB / 117MB,53
1773918996,deployment-db-1,0.09%,4.34MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773918996,deployment-persistence-1,0.18%,266.4MiB / 1.946GiB,13.37%,159MB / 169MB,4.72GB / 124MB,55
1773918996,deployment-auth-1,12.96%,307.6MiB / 1.946GiB,15.44%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919005,deployment-recommender-1,3.05%,326.9MiB / 1.946GiB,16.41%,8.66MB / 12.7MB,5.22GB / 204MB,68
1773919005,deployment-image-1,1.31%,516.9MiB / 1.946GiB,25.94%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919005,deployment-registry-1,0.54%,74.8MiB / 1.946GiB,3.75%,50.8MB / 33.4MB,2.27GB / 117MB,53
1773919005,deployment-db-1,0.07%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919005,deployment-persistence-1,7.08%,264.1MiB / 1.946GiB,13.25%,159MB / 169MB,4.72GB / 124MB,55
1773919005,deployment-auth-1,1.10%,304.3MiB / 1.946GiB,15.27%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919014,deployment-recommender-1,1.82%,329.3MiB / 1.946GiB,16.52%,8.67MB / 12.7MB,5.22GB / 204MB,68
1773919014,deployment-image-1,2.91%,516.9MiB / 1.946GiB,25.94%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919014,deployment-registry-1,0.61%,74.91MiB / 1.946GiB,3.76%,50.8MB / 33.5MB,2.27GB / 117MB,53
1773919014,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919014,deployment-persistence-1,1.19%,264.5MiB / 1.946GiB,13.27%,159MB / 169MB,4.72GB / 124MB,55
1773919014,deployment-auth-1,1.32%,306.3MiB / 1.946GiB,15.37%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919021,deployment-recommender-1,1.37%,328MiB / 1.946GiB,16.46%,8.67MB / 12.7MB,5.22GB / 204MB,68
1773919021,deployment-image-1,0.57%,514.4MiB / 1.946GiB,25.81%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919021,deployment-registry-1,0.39%,74.77MiB / 1.946GiB,3.75%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919021,deployment-db-1,0.08%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919021,deployment-persistence-1,0.17%,263.8MiB / 1.946GiB,13.24%,159MB / 169MB,4.72GB / 124MB,55
1773919021,deployment-auth-1,1.24%,304.8MiB / 1.946GiB,15.30%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919031,deployment-recommender-1,2.50%,331.3MiB / 1.946GiB,16.62%,8.67MB / 12.7MB,5.23GB / 204MB,68
1773919031,deployment-image-1,1.68%,514.5MiB / 1.946GiB,25.82%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919031,deployment-registry-1,0.65%,74.91MiB / 1.946GiB,3.76%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919031,deployment-db-1,0.07%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919031,deployment-persistence-1,1.27%,265.1MiB / 1.946GiB,13.30%,159MB / 169MB,4.73GB / 124MB,55
1773919031,deployment-auth-1,0.14%,306.2MiB / 1.946GiB,15.37%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919039,deployment-recommender-1,7.12%,335.8MiB / 1.946GiB,16.85%,8.67MB / 12.7MB,5.23GB / 204MB,68
1773919039,deployment-image-1,1.65%,514MiB / 1.946GiB,25.79%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919039,deployment-registry-1,0.40%,74.92MiB / 1.946GiB,3.76%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919039,deployment-db-1,0.06%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919039,deployment-persistence-1,0.15%,264.6MiB / 1.946GiB,13.28%,159MB / 169MB,4.73GB / 124MB,55
1773919039,deployment-auth-1,1.11%,306.1MiB / 1.946GiB,15.36%,52.2MB / 24.9MB,4.5GB / 101MB,54
1773919048,deployment-recommender-1,1.30%,334.2MiB / 1.946GiB,16.77%,8.68MB / 12.7MB,5.23GB / 204MB,68
1773919048,deployment-image-1,0.24%,514.1MiB / 1.946GiB,25.80%,72.8MB / 3.15GB,4.23GB / 171MB,60
1773919048,deployment-registry-1,0.40%,75.88MiB / 1.946GiB,3.81%,50.9MB / 33.5MB,2.27GB / 117MB,53
1773919048,deployment-db-1,0.09%,4.344MiB / 1.946GiB,0.22%,21.2MB / 93.7MB,953MB / 29.6MB,30
1773919048,deployment-persistence-1,0.15%,263.9MiB / 1.946GiB,13.24%,159MB / 169MB,4.73GB / 124MB,55
